@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute inputs-101 numeric
@attribute inputs-102 numeric
@attribute inputs-103 numeric
@attribute inputs-104 numeric
@attribute inputs-105 numeric
@attribute update-1 numeric

@data
37,'2019/02/12 17:09:16:753',2,3.258854,3.258854,3.258854,3.258854,3.258854,3.258854,3.258854,3.258854,3.995955,3.995955,3.995955,3.995955,3.995955,3.995955,3.995955,4.133935,4.133935,4.133935,4.133935,4.133935,3.631227,3.631227,3.631227,3.631227,2.676357,2.676357,2.676357,2.025953,2.025953,2.025953,2.59337,2.59337,3.293817,3.293817,3.223106,3.223106,2.420222,2.420222,1.51754,0.980189,0.980189,0.911342,2.266452,4.028657,5.076318,4.915074,3.544783,1.486798,0.518115,0.284748,1.682779,4.169139,4.625881,2.50216,0.201192,0.705545,1.165349,1.493965,1.1654,4.309189,12.457537,11.625458,4.57481,6.233776,8.849458,3.681881,1.515293,0.290464,4.464207,5.423761,1.196047,1.096044,0.81473,0.779387,2.380363,0.606058,0.360983,0.612869,0.438627,0.997093,0.611808,0.619219,1.1376,0.408908,0.680694,1.058532,0.19813,0.389708,0.454105,0.598173,0.269256,0.584766,1.095819,0.656671,0.224659,0.37782,0.305328,0.675227,0.415336,0.539104,0.297925,0.27403,0.216563,0.266774,1765.722656,?
38,'2019/02/12 17:09:16:776',2,6.422207,6.422207,6.422207,6.422207,6.422207,6.422207,6.422207,6.422207,4.452391,4.452391,4.452391,4.452391,4.452391,4.452391,4.452391,2.507887,2.507887,2.507887,2.507887,2.507887,1.863215,1.863215,1.863215,1.863215,1.295022,1.295022,1.295022,1.921239,1.921239,1.921239,3.660396,3.660396,4.361965,4.361965,3.881948,3.881948,2.666058,2.666058,1.48721,0.716237,0.716237,0.625633,2.393375,4.10254,4.932188,4.572823,3.170207,1.354451,0.254392,0.845452,2.455965,4.531127,4.781714,2.851795,0.76492,0.31976,1.328626,1.391873,0.380532,4.691952,12.510075,10.686433,2.690723,7.246752,9.355927,1.611009,1.275026,1.263804,3.874312,3.933934,1.573325,0.625766,0.970903,0.915162,1.264097,0.601009,0.315814,0.763922,0.702333,0.871002,0.399639,0.329704,0.318151,0.256327,0.371825,0.637964,0.33828,0.240361,0.320702,0.284391,0.235836,0.160512,0.403257,0.169276,0.183652,0.213124,0.205647,0.267776,0.160107,0.172489,0.153495,0.203818,0.202721,0.187773,1722.65625,?
39,'2019/02/12 17:09:16:787',2,2.862714,2.862714,2.862714,2.862714,2.862714,2.862714,2.862714,2.862714,4.073197,4.073197,4.073197,4.073197,4.073197,4.073197,4.073197,4.061309,4.061309,4.061309,4.061309,4.061309,3.363257,3.363257,3.363257,3.363257,2.709929,2.709929,2.709929,2.733531,2.733531,2.733531,3.444214,3.444214,4.009087,4.009087,3.751622,3.751622,2.695251,2.695251,1.435866,0.588125,0.588125,0.434201,2.141203,3.879358,4.816628,4.568832,3.224326,1.367419,0.1878,0.779687,2.30868,4.395268,4.592,2.549057,0.457177,0.619847,1.321429,1.491712,0.683552,4.36898,12.688838,11.347721,2.918689,6.606107,8.926816,3.589657,3.707642,1.059749,4.230558,4.89414,2.19608,1.931991,0.933174,0.393767,2.859587,0.648427,0.419873,0.60533,0.554698,0.509346,0.310067,0.149725,0.219181,0.247744,0.60495,0.300759,0.221781,0.253521,0.227566,0.239159,0.194262,0.192572,0.218103,0.150643,0.148995,0.177903,0.233351,0.278376,0.166968,0.218732,0.219887,0.157845,0.121627,0.253284,1765.722656,?
40,'2019/02/12 17:09:16:803',2,5.238335,5.238335,5.238335,5.238335,5.238335,5.238335,5.238335,5.238335,3.989498,3.989498,3.989498,3.989498,3.989498,3.989498,3.989498,2.800842,2.800842,2.800842,2.800842,2.800842,2.223453,2.223453,2.223453,2.223453,2.396419,2.396419,2.396419,3.130524,3.130524,3.130524,4.097274,4.097274,4.63379,4.63379,4.243992,4.243992,2.94365,2.94365,1.338653,0.358864,0.358864,0.877674,2.428751,4.021455,4.857955,4.584302,3.312137,1.660837,0.598659,0.69503,2.27366,4.474209,4.856126,2.893663,0.774572,0.832167,1.142395,1.110384,0.523492,4.104245,12.112652,10.73199,3.912391,8.815148,9.74171,3.706714,2.218392,0.596825,3.789088,3.837527,0.847999,1.076922,0.89017,1.254823,2.772331,0.709059,0.4807,0.664047,0.645896,0.433622,0.216966,0.295566,0.218864,0.262447,0.618155,0.514212,0.197444,0.209171,0.246974,0.159972,0.330156,0.323993,0.288058,0.386701,0.433943,0.156638,0.310737,0.242955,0.217158,0.171978,0.25665,0.191647,0.215497,0.158664,1765.722656,?
41,'2019/02/12 17:09:16:820',2,5.014205,5.014205,5.014205,5.014205,5.014205,5.014205,5.014205,5.014205,4.074283,4.074283,4.074283,4.074283,4.074283,4.074283,4.074283,2.315239,2.315239,2.315239,2.315239,2.315239,0.676597,0.676597,0.676597,0.676597,1.232067,1.232067,1.232067,2.224975,2.224975,2.224975,3.664143,3.664143,4.346052,4.346052,3.870522,3.870522,2.508644,2.508644,1.093886,0.528951,0.528951,0.804361,2.372883,3.924887,4.689967,4.351005,3.052249,1.499959,0.580401,0.496255,2.237108,4.48176,4.826871,2.736206,0.410475,0.487372,1.307744,1.335328,0.757656,4.092677,12.427526,11.402821,2.557916,8.038799,8.196136,1.201638,1.976646,1.616093,3.70649,3.879094,1.057784,1.691175,0.794186,1.037907,2.818756,0.658763,0.280148,0.800655,0.335807,0.534493,0.249191,0.113657,0.26391,0.37056,0.50382,0.321639,0.17453,0.289046,0.227091,0.154782,0.24081,0.137555,0.129547,0.216768,0.148246,0.133787,0.290208,0.147201,0.134635,0.184765,0.159115,0.150055,0.103765,0.181547,1765.722656,?
42,'2019/02/12 17:09:16:837',2,6.036284,6.036284,6.036284,6.036284,6.036284,6.036284,6.036284,6.036284,5.181754,5.181754,5.181754,5.181754,5.181754,5.181754,5.181754,3.289807,3.289807,3.289807,3.289807,3.289807,0.778819,0.778819,0.778819,0.778819,1.056675,1.056675,1.056675,2.270071,2.270071,2.270071,3.529212,3.529212,4.110477,4.110477,3.648448,3.648448,2.322324,2.322324,0.803811,0.189655,0.189655,0.64425,2.296731,3.903214,4.661234,4.256928,2.840213,1.025511,0.40564,1.29402,2.524506,4.406376,4.659428,2.544276,0.477836,0.489851,1.053891,1.242187,0.603583,4.158243,12.084866,10.689132,2.271082,8.595494,8.856811,2.907824,2.47235,1.568373,3.402806,3.751384,1.291099,0.664996,0.737208,1.942232,2.596245,0.434545,0.319408,0.620392,0.451422,0.272104,0.231786,0.117268,0.166113,0.262143,0.545601,0.403462,0.134324,0.247144,0.250801,0.200623,0.162153,0.138929,0.199663,0.206385,0.198906,0.135594,0.209718,0.179263,0.281613,0.279964,0.192579,0.151895,0.113687,0.14019,1765.722656,?
43,'2019/02/12 17:09:16:853',2,6.089643,6.089643,6.089643,6.089643,6.089643,6.089643,6.089643,6.089643,5.772401,5.772401,5.772401,5.772401,5.772401,5.772401,5.772401,4.608988,4.608988,4.608988,4.608988,4.608988,2.655871,2.655871,2.655871,2.655871,0.786404,0.786404,0.786404,2.519461,2.519461,2.519461,3.827135,3.827135,4.147235,4.147235,3.484559,3.484559,2.116508,2.116508,0.996336,1.069436,1.069436,0.885764,2.254143,3.993787,4.840641,4.51298,3.244016,1.720525,0.625751,0.620159,2.036145,4.206062,4.624575,2.508001,0.276459,0.405258,1.426455,1.130374,0.683309,4.097607,11.811094,9.862007,1.556736,7.525626,8.452777,1.771853,2.754639,1.070635,3.742225,4.967263,1.106188,1.330787,0.238562,0.951424,0.90454,1.056044,0.472634,0.571569,0.622821,0.877282,0.343805,0.219826,0.081042,0.289306,0.305002,0.309359,0.148319,0.224466,0.260596,0.166974,0.243762,0.506724,0.251946,0.466807,0.384885,0.130312,0.220562,0.182303,0.23127,0.101751,0.295332,0.347191,0.268568,0.231136,1722.65625,?
44,'2019/02/12 17:09:16:870',2,8.597651,8.597651,8.597651,8.597651,8.597651,8.597651,8.597651,8.597651,6.344653,6.344653,6.344653,6.344653,6.344653,6.344653,6.344653,3.287708,3.287708,3.287708,3.287708,3.287708,0.492945,0.492945,0.492945,0.492945,1.527374,1.527374,1.527374,1.468298,1.468298,1.468298,2.744528,2.744528,3.909838,3.909838,3.982035,3.982035,3.026891,3.026891,1.590983,0.677935,0.677935,1.010936,2.451091,3.965123,4.692857,4.297806,2.925546,1.23139,0.25285,1.064205,2.353876,4.25196,4.435633,2.225425,0.075453,0.352656,1.397719,0.915475,1.210771,3.715672,12.359786,10.822198,1.106035,7.212529,8.814198,3.316373,1.848967,0.963305,3.453558,3.750126,0.501519,0.682981,0.718458,0.524137,1.774733,0.723255,0.356639,0.624538,0.286923,0.475039,0.231405,0.103063,0.272022,0.244397,0.295402,0.186783,0.097024,0.151496,0.283042,0.139159,0.191006,0.141012,0.224144,0.229217,0.172107,0.17101,0.200109,0.184191,0.201222,0.144801,0.146325,0.185165,0.280646,0.156408,1765.722656,?
45,'2019/02/12 17:09:16:887',2,6.592638,6.592638,6.592638,6.592638,6.592638,6.592638,6.592638,6.592638,5.974983,5.974983,5.974983,5.974983,5.974983,5.974983,5.974983,4.360389,4.360389,4.360389,4.360389,4.360389,2.273982,2.273982,2.273982,2.273982,2.119217,2.119217,2.119217,3.163977,3.163977,3.163977,3.986959,3.986959,4.378339,4.378339,4.014656,4.014656,2.814521,2.814521,1.190911,0.028594,0.028594,0.5203,1.95147,3.595766,4.499531,4.260383,2.98943,1.322484,0.369682,0.735563,2.058986,4.217318,4.586478,2.571611,0.391663,0.414069,1.337163,0.949318,0.789384,4.299731,12.380232,11.11921,1.380663,7.417271,8.458789,2.097824,2.187522,0.898461,3.093607,2.325886,0.997415,0.710315,0.692506,0.777075,1.315771,0.622245,0.382074,0.495286,0.313042,0.604151,0.389944,0.105418,0.194445,0.14974,0.542028,0.214489,0.256778,0.278578,0.309424,0.215655,0.14048,0.145661,0.169239,0.161014,0.172339,0.173328,0.199894,0.178291,0.17739,0.192404,0.193805,0.163274,0.147942,0.208068,1765.722656,?
46,'2019/02/12 17:09:16:903',2,1.04744,1.04744,1.04744,1.04744,1.04744,1.04744,1.04744,1.04744,1.894507,1.894507,1.894507,1.894507,1.894507,1.894507,1.894507,0.863899,0.863899,0.863899,0.863899,0.863899,2.035578,2.035578,2.035578,2.035578,1.971509,1.971509,1.971509,0.394374,0.394374,0.394374,2.845304,2.845304,4.046566,4.046566,3.778818,3.778818,2.417584,2.417584,0.688064,0.479046,0.479046,1.024251,2.334532,3.876342,4.704954,4.445059,3.22147,1.623221,0.404524,0.592739,2.044458,4.101216,4.423149,2.48054,0.462476,0.272534,1.305645,0.872311,0.679133,4.018401,12.114906,11.162994,3.315927,8.617312,8.477147,2.147658,1.699133,1.083863,3.457417,2.702201,0.317869,0.96781,0.362141,0.625129,2.529046,0.919784,0.450201,0.751033,0.460887,0.498457,0.376813,0.145698,0.169055,0.243227,0.440702,0.279195,0.12827,0.21932,0.184561,0.257811,0.141314,0.04306,0.145446,0.179997,0.213434,0.197049,0.188081,0.174352,0.174274,0.181523,0.173808,0.15641,0.197753,0.179904,1765.722656,?
